"","Year","month","month_name","area","Source","monthly_mean_temperature","monthly_mean_salinity","monthly_mean_stratification","monthly_mean_density_stratification","monthly_mean_density","n_casts","mean_latitude","mean_longitude","month_label"
"86",2022,10,"October","German Bank","HSC",12.7736081115663,30.5850995157229,0.184897395,0.409066500000051,1023.0981085,2,43.5634,-66.36085,"Oct"
"87",2022,10,"October","Prince5",NA,12.4256345308744,32.6627817153931,0.0295000076293945,0.136667997282075,1024.77265885104,2,44.9306983947754,-66.8495025634766,"Oct"
"88",2023,6,"June","German Bank","DFO",7.76423089320843,NA,0.00999975204467773,-Inf,NA,1,43.4416999816895,-66.3300094604492,"Jun"
"89",2023,6,"June","Prince5",NA,8.72883840707632,26.0237911756222,0.548474788665771,11.9533233883722,1020.22480640367,2,44.9331016540527,-66.8424987792969,"Jun"
"90",2023,6,"June","Prince5",NA,7.76423089320843,NA,0.00999975204467773,-Inf,NA,1,43.4416999816895,-66.3300094604492,"Jun"
"91",2023,6,"June","Scots Bay","HSC",8.82540444848193,31.4664929378313,0.0694133439999991,0.105268999999907,1024.45954907229,1,45.05111667,-65.20718,"Jun"
"92",2023,7,"July","Prince5",NA,10.3737181149996,31.2928062830216,0.236899852752686,0.210588162176805,1024.07717882969,2,44.9324989318848,-66.8451995849609,"Jul"
"93",2023,7,"July","Scots Bay","HSC",11.4259950606024,31.6891263145181,0.97287904,0.372539000000074,1024.19907939157,2,45.0533,-65.21515,"Jul"
"94",2023,8,"August","German Bank","DFO",9.63807689226591,NA,0.619999885559082,-Inf,NA,1,43.3449974060059,-66.5317001342773,"Aug"
"95",2023,8,"August","German Bank","HSC",10.7633092429398,31.9424903160241,3.431047136,1.03101450000003,1024.51066893976,2,43.56685,-66.3599,"Aug"
"96",2023,8,"August","Prince5",NA,12.6853384421422,31.4048672456008,0.625200748443604,0.406438589918992,1023.74850331666,2,44.9339981079102,-66.8443984985352,"Aug"
"97",2023,8,"August","Prince5",NA,9.63807689226591,NA,0.619999885559082,-Inf,NA,1,43.3449974060059,-66.5317001342773,"Aug"
"98",2023,8,"August","Scots Bay","HSC",12.423768519759,31.8446430685542,0.126973280000001,0.106827499999895,1024.1397388012,2,45.054,-65.2126,"Aug"
"99",2023,9,"September","German Bank","HSC",11.0369621295769,31.9712104153782,1.25529843666667,0.476158333333387,1024.48754727183,3,43.5683333333333,-66.3588333333333,"Sep"
"100",2023,9,"September","Prince5",NA,13.2597730893355,31.5496549239525,0.515875339508057,0.341905034343256,1023.74899208603,2,44.9360008239746,-66.8433990478516,"Sep"
"101",2023,9,"September","Scots Bay","HSC",12.1248756095181,31.9642212141566,0.249528980000001,0.228662999999983,1024.28863044578,2,45.0553,-65.20635,"Sep"
"102",2023,10,"October","German Bank","HSC",12.7982779958434,31.1915900894578,1.31390656,0.737881999999956,1023.55542062048,2,43.5675,-66.3608,"Oct"
"103",2023,10,"October","Prince5",NA,12.2188701996436,31.6772912832407,0.0886006355285645,0.181851360426492,1024.04788003462,2,44.9353981018066,-66.8439025878906,"Oct"
"104",2023,10,"October","Scots Bay","HSC",12.2281430249398,31.9089497155422,0.071163610000001,0.105013999999983,1024.22649955422,1,45.0526,-65.2153,"Oct"
"105",2023,11,"November","German Bank","DFO",10.2396153670091,NA,0.130000114440918,-Inf,NA,1,43.4567031860352,-66.3767013549805,"Nov"
"106",2023,11,"November","Prince5",NA,10.2396153670091,NA,0.130000114440918,-Inf,NA,1,43.4567031860352,-66.3767013549805,"Nov"
"107",2024,6,"June","Scots Bay","HSC",8.37535997519679,31.5491799010442,0.0824426516666665,0.124654666666705,1024.59075941767,3,45.0524,-65.21495,"Jun"
"108",2024,7,"July","Scots Bay","HSC",10.7367377144578,31.7143298596386,0.242519939999999,0.154600999999957,1024.3415603494,2,45.05315,-65.2142,"Jul"
"109",2024,8,"August","German Bank","HSC",12.1218602127108,32.371652938012,4.40038761,1.35294850000002,1024.59640251807,2,43.5636,-66.36195,"Aug"
"110",2024,8,"August","Scots Bay","HSC",12.0401654569277,32.1765310942771,0.80649452,0.412887499999954,1024.46869509639,2,45.0542,-65.2092,"Aug"
"111",2024,9,"September","German Bank","HSC",13.4639401612048,31.7300769981928,1.238458315,0.431781999999998,1023.84775646988,2,43.62295,-66.3608,"Sep"
"112",2024,9,"September","Scots Bay","HSC",12.7409806237349,32.3590064990361,0.0329543699999997,0.118898999999942,1024.4773556988,2,45.0536,-65.20595,"Sep"
"113",2024,10,"October","German Bank","HSC",11.4339102133735,32.165666366747,0.64173568,0.428060000000187,1024.57163727711,1,43.5709,-66.3587,"Oct"
