"","date","station_id","latitude","longitude","area","depth","temperature","salinity","Year","cast","Source","file","is_prince5","in_germanseal","in_scotsbay"
"85",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",27.33903611,11.08479857,31.23370316,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"86",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",14.79040973,11.07340909,31.24217007,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"87",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",18.97333574,11.08992462,31.24345476,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"88",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",15.08919257,11.0706508,31.24094355,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"89",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",28.23535057,11.07894269,31.2356564,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"90",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",15.38797482,11.07522325,31.24472622,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"91",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",19.57089053,11.08307467,31.24608019,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"92",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",15.68675657,11.07820666,31.24412565,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"93",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",29.13166011,11.09084379,31.22802302,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"94",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",15.98553792,11.07427943,31.24505336,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"95",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",20.16845025,11.09045433,31.22572841,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"96",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",16.28431888,11.07447502,31.2437356,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"97",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",20.46723091,11.08693844,31.2302674,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"98",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",16.58309945,11.07356443,31.24527941,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"99",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",16.88187981,11.07504844,31.2428259,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"100",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",9.113424215,11.11735325,31.2404719,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"101",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",5.229073866,11.16419101,31.24196062,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"102",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",17.47944055,11.06635501,31.23423721,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"103",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",5.52787294,11.16605273,31.23572995,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"104",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",9.711010726,11.14091693,31.23436162,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"105",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",5.826672392,11.16478392,31.23577596,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"106",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",21.96112354,11.06836034,31.24096031,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"107",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",18.07699967,11.07143531,31.24538726,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"108",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",6.125470499,11.15834006,31.24284968,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"109",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",22.2598985,11.0667572,31.23781194,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"110",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",10.3085987,11.13623158,31.23474987,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"111",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",6.424267659,11.15546469,31.23903328,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"112",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",22.5586736,11.06438367,31.23577486,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"113",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",18.67455663,11.08590426,31.24078414,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"114",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",6.723064319,11.1514616,31.24270926,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"115",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",22.85744822,11.06332542,31.23830558,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"116",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",10.90618386,11.13200229,31.23136972,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"117",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.021860229,11.14836058,31.24105579,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"118",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",23.1562221,11.06427123,31.23926572,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"119",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",19.27211354,11.07860861,31.24764875,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
