"file","cast","date","station_id","latitude","longitude","instrumentType","depth","temperature","salinity"
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",91,0.769999980926514,31.7199993133545
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",0,0.899999976158142,31.6539993286133
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",1,0.879999995231628,31.6749992370605
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",3,0.870000004768372,31.6809997558594
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",5,0.860000014305115,31.6760005950928
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",7,0.839999973773956,31.6949996948242
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",9,0.839999973773956,31.6959991455078
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",11,0.829999983310699,31.7119998931885
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",13,0.810000002384186,31.7169990539551
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",15,0.810000002384186,31.7129993438721
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",17,0.810000002384186,31.7140007019043
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",19,0.810000002384186,31.7290000915527
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",21,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",23,0.810000002384186,31.7189998626709
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",25,0.810000002384186,31.7129993438721
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",27,0.810000002384186,31.7229995727539
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",29,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",31,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",33,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",35,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",37,0.810000002384186,31.7250003814697
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",39,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",41,0.810000002384186,31.7269992828369
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",43,0.810000002384186,31.7250003814697
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",45,0.810000002384186,31.7259998321533
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",47,0.810000002384186,31.7269992828369
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",49,0.810000002384186,31.7269992828369
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",51,0.810000002384186,31.7259998321533
