Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
163.2,52.807155782385564,4.2736988067626953,30583.501953125
163.4,52.732265937260664,4.26527214050293,30585.109375
163.6,52.644459527194357,4.2611603736877441,30588.3203125
163.8,52.55252942938391,4.265355110168457,30606.3046875
164,52.463174252227759,4.26949405670166,30607.396484375
164.2,52.36607523962239,4.2723145484924316,30609.884765625
164.4,52.262773529263114,4.2771511077880859,30625.166015625
164.6,52.181169816950714,4.2842392921447754,30624.2421875
164.8,52.092333438622688,4.290184497833252,30624.466796875
165,51.984900411124741,4.2898097038269043,30627.556640625
165.2,51.850096930745934,4.28697395324707,30613.484375
165.4,51.704440636646424,4.2869257926940918,30607.404296875
165.6,51.591846323748094,4.2861213684082031,30612.4453125
165.8,51.519027859238427,4.2950544357299805,30634.763671875
166,51.484947645461183,4.3105030059814453,30650.80078125
166.2,51.450867431683939,4.3250713348388672,30667.390625
166.4,51.373391221812945,4.332432746887207,30681.67578125
166.6,51.277852420389216,4.32557487487793,30641.751953125
166.8,51.174558339424472,4.314396858215332,30621.28125
167,51.041822424963634,4.3049001693725586,30614.03515625
167.2,50.929743096196162,4.3005704879760742,30620.36328125
167.4,50.827478983493137,4.3006553649902344,30628.8828125
167.6,50.72832003436433,4.3040375709533691,30639.060546875
167.8,50.624503339874195,4.3015856742858887,30633.595703125
168,50.519664306516873,4.2971029281616211,30616.076171875
168.2,50.403461290005254,4.29224967956543,30603.0078125
168.4,50.306369906794416,4.2951655387878418,30611.919921875
168.6,50.218574940819906,4.3013157844543457,30633.33203125
168.8,50.135937445548521,4.3137202262878418,30647.953125
169,50.054341362630652,4.3275299072265625,30667.125
169.2,49.975320200367079,4.3468279838562012,30681.376953125
169.4,49.892694149187491,4.3817009925842285,30731.02734375
169.6,49.829694715439544,4.41874361038208,30748.794921875
169.8,49.785803100295119,4.4552741050720215,30757.26171875
170,49.722799851849906,4.4869346618652344,30794.1171875
170.2,49.64430511780899,4.5047855377197266,30805.767578125
170.4,49.58336562058448,4.51353645324707,30803.140625
170.6,49.538959021309189,4.5249004364013672,30811.240234375
170.8,49.488868523108117,4.541414737701416,30835.6484375
171,49.39746103882306,4.549860954284668,30830.666015625
171.2,49.2884868736298,4.5534448623657227,30814.880859375
171.4,49.174874036561548,4.5599122047424316,30819.96875
171.6,49.076748870391725,4.5677108764648438,30827.97265625
171.8,48.978108720091043,4.5848159790039062,30844.41796875
172,48.86862338546419,4.6085481643676758,30887.232421875
172.2,48.73383134917718,4.6285796165466309,30892.96875
172.4,48.575281378319858,4.6450252532958984,30900.392578125
172.6,48.428091575919566,4.659731388092041,30916.7890625
172.8,48.2633427220056,4.6842012405395508,30944.103515625
173,48.090335048511562,4.72720193862915,31025.697265625
173.2,47.907512158953068,4.7830953598022461,31089.830078125
173.4,47.701965117783246,4.8455886840820312,31133.513671875
173.6,47.518627244093892,4.9037322998046875,31158.978515625
173.8,47.346138369427976,4.950810432434082,31194.255859375
174,47.174679463023786,4.9836325645446777,31202.744140625
174.2,47.000649450662557,5.01096248626709,31224.689453125
174.4,46.814214042793516,5.046051025390625,31270.388671875
174.6,46.615392312902991,5.08487606048584,31305.0625
174.8,46.436704555180434,5.1151437759399414,31312.21875
175,46.271448346530143,5.1396923065185547,31321.08203125
175.2,46.124788787049773,5.1584987640380859,31331.357421875
175.4,45.971411545684639,5.1783885955810547,31342.9609375
175.6,45.8097792994367,5.1955394744873047,31351.78515625
175.8,45.671382374233673,5.2092628479003906,31363.625
176,45.576366186335335,5.2245898246765137,31369.330078125
176.2,45.512859397851059,5.2432594299316406,31381.796875
176.4,45.461742746085534,5.2565312385559082,31384.587890625
176.6,45.407013576009462,5.2706990242004395,31398.09375
176.8,45.375000928150186,5.2939262390136719,31406.1328125
177,45.376561430925676,5.3073558807373047,31399.58203125
177.2,45.403947434189448,5.3012762069702148,31416.1875
177.4,45.423581972609469,5.2996788024902344,31412.66015625
177.6,45.452516742963084,5.3093767166137695,31416.728515625
177.8,45.470083715465137,5.3252620697021484,31433.6484375
178,45.497984702859767,5.3352928161621094,31438.8515625
178.2,45.493868936104015,5.3410053253173828,31452.7734375
178.4,45.441195887854114,5.3415122032165527,31459.990234375
178.6,45.361160016117886,5.3384857177734375,31438.505859375
178.8,45.236194639987126,5.3447341918945312,31453.4140625
179,45.105034195496991,5.3588747978210449,31485.498046875
179.2,44.933582918487325,5.3725738525390625,31494.203125
179.4,44.705849598020627,5.383918285369873,31484.4921875
179.6,44.464684728481664,5.3897385597229,31502.97265625
179.8,44.206483420954427,5.3950710296630859,31496.173828125
