Plant,Date,Method ,Harvest_Site,Boat,bait_%,small_%,med_%,large_%,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,9.6,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Sealife II,9.2,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Sealife II,11.2,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Sealife II,8.6,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Sealife II,9.8,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Melissa,8,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Melissa,7.2,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Melissa,13.2,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Melissa,7.8,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,11.2,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,10.6,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,7.8,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,10.8,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,12.6,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,13.4,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Sealife II,,12,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Sealife II,,11.4,,,,,,,,,,,,,,,,,,,
