Total Returned Tags,Returned Tags,Returned from,Total Tags,All Tags,Notes
,564777,Scotia Gardens,,588215,
,471716,Scotia Gardens,,588216,
,564798,Scotia Gardens,,588217,
,564667,Scotia Gardens,,588218,
,567215,Scotia Gardens,,588219,
,567240,Scotia Gardens,,588220,
,569157,Scotia Gardens,,588221,
,564759,Scotia Gardens,,588222,
,567174,Scotia Gardens,,588223,
,567173,Scotia Gardens,,588224,
,502154,Scotia Gardens,,588225,
,567255,Scotia Gardens,,588226,
,559461,Scotia Gardens,,588227,
,471756,Scotia Gardens,,588228,
,572285,Scotia Gardens,,588229,
,471903,Scotia Gardens,,588230,
,564888,Scotia Gardens,,588231,
,564725,Scotia Gardens,,588232,
,471645,Scotia Gardens,,588233,
,471626,Scotia Gardens,,588234,
,569529,Scotia Gardens,,588235,
,471787,Scotia Gardens,,588236,
,471490,Scotia Gardens,,588237,
,564172,Scotia Gardens,,588238,
,567155,Scotia Gardens,,588239,
,564721,Scotia Gardens,,588240,
,567080,Scotia Gardens,,588241,
,577847,Scotia Gardens,,588242,
,567024,Scotia Gardens,,588243,
,567202,Scotia Gardens,,588244,
,471494,Scotia Gardens,,588245,
,564723,Scotia Gardens,,588246,
,564853,Scotia Gardens,,588247,
,577931,Scotia Gardens,,588248,
,577763,Scotia Gardens,,588249,
,471824,Scotia Gardens,,588250,
,569617,Scotia Gardens,,588251,
,569582,Scotia Gardens,,588252,
,578846,Scotia Gardens,,588253,
,471773,Scotia Gardens,,588254,
,564749,Scotia Gardens,,588255,
,578951,Scotia Gardens,,588256,
,578962,Scotia Gardens,,588257,
,578970,Scotia Gardens,,588258,
,564754,Scotia Gardens,,588259,
,578875,Scotia Gardens,,588260,
,577853,Scotia Gardens,,588261,
,564782,Scotia Gardens,,588262,
,577934,Scotia Gardens,,588263,
,578805,Scotia Gardens,,588264,
,577754,Scotia Gardens,,588265,
,502060,Scotia Gardens,,588266,
,560363,Scotia Gardens,,588267,
,532355,Scotia Gardens,,588268,
,532421,Scotia Gardens,,588269,
,528173,Scotia Gardens,,588270,
,528274,Scotia Gardens,,588271,
,532267,Scotia Gardens,,588272,
,567598,Scotia Gardens,,588273,
,567546,Scotia Gardens,,588274,
,567628,Scotia Gardens,,588275,
,528203,Scotia Gardens,,588276,
,567533,Scotia Gardens,,588277,
,510905,Scotia Gardens,,588278,
,567420,Scotia Gardens,,588279,
,578413,Scotia Gardens,,588280,
,532365,Scotia Gardens,,588281,
,467543,Scotia Gardens,,588282,
,532385,Scotia Gardens,,588283,
,577556,Scotia Gardens,,588284,
,532375,Scotia Gardens,,588285,
,577608,Scotia Gardens,,588286,
,532427,Scotia Gardens,,588287,
,574192,Scotia Gardens,,588288,
,528313,Scotia Gardens,,588289,
,532392,Scotia Gardens,,588290,
,578202,Scotia Gardens,,588291,
,573304,Scotia Gardens,,588292,
,532462,Scotia Gardens,,588293,
,569841,Scotia Gardens,,588294,
,56774,Scotia Gardens,,588295,
,567852,Scotia Gardens,,588296,
,567811,Scotia Gardens,,588297,
,567978,Scotia Gardens,,588298,
,567827,Scotia Gardens,,588299,
,564900,Scotia Gardens,,588300,
,528685,Scotia Gardens,,588301,
