"Tag_Num","Date","Julian","Ground","Lat","Lon","returnedDate","returnedJulian","returnedArea","returnedLat","returnedLon","Catch.t","daysAtLarge","dataorigin","Comments","ReleaseNAFO","ReturnNAFO"
590964,"2021-08-25",237,"German Bank",43.2792,-66.40478333,"2022-08-31",243,"German Bank",NA,NA,224,371,"complete.returns","","4Xq","4Xq"
498433,"2022-08-16",228,"German Bank",43.34535,-66.44735,"2022-08-31",243,"German Bank",NA,NA,224,15,"complete.returns","","4Xq","4Xq"
498598,"2022-08-16",228,"German Bank",43.34535,-66.44735,"2022-08-31",243,"German Bank",NA,NA,224,15,"complete.returns","","4Xq","4Xq"
502431,"2022-08-24",236,"German Bank",43.29388333,-66.39218333,"2022-08-31",243,"German Bank",NA,NA,224,7,"complete.returns","","4Xq","4Xq"
522687,"2022-08-16",228,"German Bank",43.32573333,-66.45521667,"2022-08-31",243,"German Bank",NA,NA,224,15,"complete.returns","","4Xq","4Xq"
502304,"2022-08-24",236,"German Bank",43.29388333,-66.39218333,"2022-08-31",243,"German Bank",NA,NA,224,7,"complete.returns","","4Xq","4Xq"
498443,"2022-08-16",228,"German Bank",43.34535,-66.44735,"2022-08-31",243,"German Bank",NA,NA,224,15,"complete.returns","","4Xq","4Xq"
491365,"2022-09-12",255,"SW Grounds",43.0025,-66.00383333,"2022-09-14",257,"German Bank",NA,NA,125,2,"complete.returns","","4Xp","4Xq"
603505,"2022-09-12",255,"German Bank",43.23446667,-66.34903333,"2022-09-14",257,"German Bank",NA,NA,125,2,"complete.returns","","4Xq","4Xq"
603522,"2022-09-12",255,"German Bank",43.23446667,-66.34903333,"2022-09-14",257,"German Bank",NA,NA,125,2,"complete.returns","","4Xq","4Xq"
603526,"2022-09-12",255,"German Bank",43.23446667,-66.34903333,"2022-09-14",257,"German Bank",NA,NA,125,2,"complete.returns","","4Xq","4Xq"
