"","TAG_NUMBER","plantReturnPlace","ReturnDate","ReturnVessel","ReturnGearType","ReturnCompany","Catch.plant","dataorigin","WEIRNO","portCode","OfficialReturnPlace","ReturnNAFO","Vessel","X_return","Y_return","Catch.DFO","Wharf_Name","Actual.Date"
"453","488534","German Bank",2021-09-02,"Fundy Monarch","Purse Seine","Connors",156,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.33333,-66.41667,156,NA,2021-09-02
"454","488585","German Bank",2021-09-09,"Morning Star","Purse Seine","Scotia Garden",66,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XQ",NA,43.32767,-66.19933,43.071435,NA,2021-09-09
"455","488595","German Bank",2021-09-09,"Morning Star","Purse Seine","Scotia Garden",66,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XQ",NA,43.32767,-66.19933,43.071435,NA,2021-09-09
"456","488618","German Bank",2021-09-02,"Fundy Monarch","Purse Seine","Connors",156,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.33333,-66.41667,156,NA,2021-09-02
"457","488738","German Bank",2021-09-09,"Morning Star","Purse Seine","Cape Breeze",67,"Mail in Tag Returns.csv",NA,NA,NA,"4XQ",NA,43.32767,-66.19933,43.071435,NA,2021-09-09
"458","489322","SEAL ISLAND (AREA 6)",2022-09-21,"Lady Janice II","Purse Seine","Comeau - Sea Life",41,"ComeauReturns2022.csv",NA,NA,NA,"4XQ",NA,43.31567,-66.1525,40.999995,NA,2022-09-20
"459","489473","German Bank",2021-09-23,"Morning Star","Purse Seine","Scotia Garden",95,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XQ",NA,43.28117,-66.38683,95,NA,2021-09-22
"460","489754","German Bank",2021-09-09,"Leroy & Barry II","Purse Seine","Scotia Garden",33,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XQ",NA,43.28333,-66.38,32.999995,NA,2021-09-09
"461","490522","Scotts Bay",2021-09-14,"Brunswick Provider","Purse Seine","Connors",130,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.15,-65.06667,122.00004,NA,2021-09-14
"462","491020","Scots Bay",2022-08-24,"Brunswick Provider","Purse Seine","Connors",105,"ConnorsReturns2022.csv",NA,NA,NA,"4XR",NA,45.15,-64.98333,50.000005,NA,2022-08-22
"463","491282","German Bank",2022-09-14,"Brunswick Provider","Purse Seine","Connors",125,"ConnorsReturns2022.csv",NA,NA,NA,"4XQ",NA,43.26667,-66.4,119.000045,NA,2022-09-14
"464","491315","",2022-09-14,"Brunswick Provider","Purse Seine","Scotia Garden",NA,"ScotiaGardenReturns2022.csv",NA,NA,NA,"4XQ",NA,43.26667,-66.4,119.000045,NA,2022-09-14
