Year,Ground,Survey_Number,Survey_Date,HSC_Estimate,HSC_Turnover_Adjusted,DFO_Estimate,DFO_Turnover_Adjusted
2022,Scots Bay,3,2022-06-26,34199,19781,29429,13709
2022,Scots Bay,4,2022-07-10,10537,5549,7892,3515
2022,Scots Bay,5,2022-07-26,13060,11904,11402,10536
2022,Scots Bay,6,2022-08-07,5250,3067,6150,4248
2022,Scots Bay,7,2022-08-21,4392,3453,4688,3656
2022,Scots Bay,8,2022-09-05,21908,21372,21420,20848
2022,Scots Bay,9,2022-09-18,8133,4850,7283,0
2022,Scots Bay,10,2022-10-03,4392.388689,3323,4152,NA
2022,German Bank,1,2022-08-14,7352,7352,22081,22081
2022,German Bank,2,2022-08-28,4659,3225,11699,7393
2022,German Bank,3,2022-09-11,7452,6279,11902,8826
2022,German Bank,4,2022-09-25,62399,60778,12503,9761
2022,German Bank,5,2022-10-10,NA,NA,20247,17675
2022,German Bank,6,2022-10-23,NA,NA,15565,10823
2022,Seal Island,1,2022-08-14,438,438,2086,2085.558623
2022,Seal Island,2,2022-08-28,528,528,570,570.1172507
2022,Seal Island,3,2022-09-11,5861,5861,6392,6391.832728
2022,Seal Island,4,2022-09-25,6134,6134,3732,3731.737119
2022,Seal Island,5,2022-10-10,NA,NA,5604,5603.648029
2022,Seal Island,6,2022-10-23,NA,NA,3260,3259.659639
2023,German Bank,1,2023-08-14,0,0,0,0
2023,Scots Bay,1,2023-05-22,40856,40856,0,0
2023,Scots Bay,2,2023-06-06,113767.329,108783,NA,NA
2023,Scots Bay,3,2023-06-18,34279.38654,15158,NA,NA
2023,Scots Bay,4,2023-07-02,11744.77555,5113,NA,NA
